latitude,longitude,station_name,street_address,city,state,zip,num_points,operator,usage_cost
37.918214,-122.336768,Caltrans - District 4,3401 Regatta Blvd,Richmond,CA,94804,1,Unknown,Not specified
37.867942,-122.256305,Graduate Berkeley,2600 Durant Ave,Berkeley,California,94704,1,Unknown,Not specified
37.915277,-122.3233809,Richmond Bayview Library,5100 Hartnett Ave,Richmond,CA,94804,1,Unknown,Not specified
37.6161599,-122.3968687,San Francisco International Airport - G1,1 N McDonnell Rd,San Francisco,CA,94128,1,Unknown,Not specified
37.61731339,-122.3854294,806 Airport South Blvd,806 Airport South Blvd,San Francisco,California,94128,2,Unknown,Not specified
37.61589,-122.39549,SFO Business Center,575 N McDonnell Rd,San Francisco,CA,94128,1,Unknown,Not specified
37.616035,-122.39071,SFO Courtyard G,San Francisco International Airport,San Francisco,CA,94128,1,Unknown,Not specified
37.615663,-122.392493,CCSF - SFO SFO INT LOT G-3,San Francisco International Airport Internati,San Francisco,CA,94128,1,Unknown,Not specified
37.615591,-122.393081,CCSF - SFO SFO INT LOT G-5,San Francisco International Airport Internati,San Francisco,CA,94128,1,Unknown,Not specified
37.616257,-122.384989,CCSF - SFO VALET 4-1,323 Domestic Terminals Arrivals Level Domesti,San Francisco,CA,94128,1,Unknown,Not specified
37.615658,-122.386781,CCSF - SFO SFO LOT A-2,San Francisco International Airport Domestic,San Francisco,CA,94128,1,Unknown,Not specified
37.615704,-122.385044,CCSF - SFO SFO LOT C-5,San Francisco International Airport Domestic,San Francisco,CA,94128,1,Unknown,Not specified
37.799695,-122.217392,CITY OF OAKLAND,3408 Dimond Ave,Oakland,CA,94602,1,Unknown,Not specified
37.615412,-122.385953,CCSF - SFO SFO LOT B-2,305 Domestic Terminals Arrivals Level Domesti,San Francisco,CA,94128,1,Unknown,Not specified
37.799268,-122.216992,3333 Fruitvale Ave,3333 Fruitvale Ave,Oakland,CA,94602,2,Unknown,Not specified
37.614485,-122.390108,SFO Courtyard A,San Francisco International Airport,San Francisco,CA,94128,1,Unknown,Not specified
37.6141309,-122.3915951,CCSF - SFO,San Francisco International Airport International Parking Garage A,San Francisco,CA,94128,1,Unknown,Not specified
37.857507,-122.24184,"Claremont Club & Spa, A Fairmont Hotel",41 Tunnel RD,Berkeley,California,94705,1,Unknown,Free
37.87561,-122.25717,Hearst Ave. and La Loma Ave.,Hearst Ave. and La Loma Ave.,Berkeley,CA,94709,2,Unknown,Not specified
